"url","url_self_link","title","publication_date","update_date","share_fb_like","share_fb_share","share_googleplus","share_twitter","share_others","article_language","lesbahet","news_bureau","external_links","internal_links","word_count","line_count","char_count","factbox","comment_fields","comment_number","interactive_elements","poll","game","video_files","video_files_nrk","flash_file","image_collection","images","related_stories","related_stories_box_thematic","related_stories_box_les","map","regional_office","program_related","main_news_category","iframe","css","js","template"
"http://www.nrk.no/rogaland/150-i-erstatningsko-1.11416167","http://www.nrk.no/rogaland/1.11416167","150 i erstatningskø - NRK – Rogaland","2013-12-13 12:57:01",NULL,0,1,1,1,0,"no",47.2547,NULL,0,1,53,2,329,0,0,0,4,NULL,NULL,0,0,0,0,0,3,3,0,0,"NRK Rogaland","NA","NA",0,181178,19823,"nrk_alfa"
"http://www.nrk.no/rogaland/1.11416167","http://www.nrk.no/rogaland/1.11416167","150 i erstatningskø - NRK – Rogaland","2013-12-13 12:57:01",NULL,0,1,1,1,0,"no",47.2547,NULL,0,1,53,2,329,0,0,0,4,NULL,NULL,0,0,0,0,0,3,3,0,0,"NRK Rogaland","NA","NA",0,181178,19823,"nrk_alfa"
"http://www.nrk.no/ostlandssendingen/mest-ulovlige-arbeidsforhold-i-oslo-1.11411196","http://www.nrk.no/ostlandssendingen/1.11411196","Snytes for lønn, trues og jobber uten kontrakt","2013-12-13 12:36:56","2013-12-13 13:08:44",0,2,2,2,0,"no",42.9138,NULL,0,8,994,45,5595,1,0,0,8,NULL,NULL,0,0,0,0,2,15,6,9,0,"NRK Østlandssendingen","NA","NA",0,181178,22158,"ny2013"
"http://www.nrk.no/ostlandssendingen/stengt-mellom-okernrysset-og-sinsen-1.11416353","http://www.nrk.no/ostlandssendingen/1.11416353","Stengt mellom Økernrysset og Sinsen - NRK – Østlandssendingen","2013-12-13 12:46:03",NULL,0,1,1,1,0,"no",34.6667,NULL,0,0,36,2,222,0,0,0,4,NULL,NULL,0,0,0,0,0,6,6,0,0,"NRK Østlandssendingen","NA","NA",0,181178,20388,"nrk_alfa"
"http://www.nrk.no/ostfold/verner-flere-skogsomrader-1.11416316","http://www.nrk.no/ostfold/1.11416316","Verner flere skogsområder","2013-12-13 12:50:48",NULL,0,2,2,2,0,"no",46.1986,NULL,1,0,441,31,2836,0,0,0,8,NULL,NULL,0,0,0,0,1,9,6,3,0,"NRK Østfold","NA","NA",0,181178,21191,"ny2013"
"http://www.nrk.no/ostfold/beslagla-13-liter-brennevin-1.11416290","http://www.nrk.no/ostfold/1.11416290","Beslagla 13 liter brennevin - Østfold","2013-12-13 12:59:40",NULL,0,1,1,1,0,"no",37.9118,NULL,0,0,34,4,197,0,0,0,4,NULL,NULL,0,0,0,0,0,6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa"
"http://www.nrk.no/ostfold/domt-etter-trafikkulykke-1.11416300","http://www.nrk.no/ostfold/1.11416300","Dømt etter trafikkulykke - Østfold","2013-12-13 12:22:42",NULL,0,1,1,1,0,"no",40.2222,NULL,0,0,72,4,394,0,0,0,4,NULL,NULL,0,0,0,0,0,6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa"
"http://www.nrk.no/ostfold/trafikken-ledes-inn-pa-gamle-e6-1.11416289","http://www.nrk.no/ostfold/1.11416289","Trafikken ledes inn på gamle E6 - Østfold","2013-12-13 12:16:04",NULL,0,1,1,1,0,"no",31.2523,NULL,0,0,37,3,200,0,0,0,4,NULL,NULL,0,0,0,0,0,6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa"
"http://www.nrk.no/ostfold/1.11416290","http://www.nrk.no/ostfold/1.11416290","Beslagla 13 liter brennevin - Østfold","2013-12-13 12:59:40",NULL,0,1,1,1,0,"no",37.9118,NULL,0,0,34,4,197,0,0,0,4,NULL,NULL,0,0,0,0,0,6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa"
"http://www.nrk.no/ostfold/1.11416300","http://www.nrk.no/ostfold/1.11416300","Dømt etter trafikkulykke - Østfold","2013-12-13 12:22:42",NULL,0,1,1,1,0,"no",40.2222,NULL,0,0,72,4,394,0,0,0,4,NULL,NULL,0,0,0,0,0,6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa"
"http://www.nrk.no/ostfold/1.11416289","http://www.nrk.no/ostfold/1.11416289","Trafikken ledes inn på gamle E6 - Østfold","2013-12-13 12:16:04",NULL,0,1,1,1,0,"no",31.2523,NULL,0,0,37,3,200,0,0,0,4,NULL,NULL,0,0,0,0,0,6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa"
"http://www.nrk.no/telemark/kristin-halvorsen-skal-lede-nemnd-1.11416416","http://www.nrk.no/telemark/1.11416416","Kristin Halvorsen skal lede nemnd - Telemark","2013-12-13 13:05:30",NULL,0,1,1,1,0,"no",48.8974,NULL,0,0,39,3,281,0,0,0,4,NULL,NULL,0,0,0,0,0,6,6,0,0,"NA","NA","NA",0,181178,20379,"nrk_alfa"
"http://www.nrk.no/telemark/1.11416416","http://www.nrk.no/telemark/1.11416416","Kristin Halvorsen skal lede nemnd - Telemark","2013-12-13 13:05:30",NULL,0,1,1,1,0,"no",48.8974,NULL,0,0,39,3,281,0,0,0,4,NULL,NULL,0,0,0,0,0,6,6,0,0,"NA","NA","NA",0,181178,20379,"nrk_alfa"
