"id","url","url_self_link","title","full_text","publication_date","update_date","scrape_date","share_fb_like","share_fb_share","share_googleplus","share_twitter","share_others","article_language","lesbahet","news_bureau","external_links","internal_links","word_count","line_count","char_count","factbox","comment_fields","comment_number","interactive_elements","poll","game","video_files","video_files_nrk","flash_file","image_collection","images","image_captions","related_stories","related_stories_box_thematic","related_stories_box_les","map","regional_office","program_related","main_news_category","iframe","css","js","template","autor_id","url","name","email","role"
54,"http://www.nrk.no/ostlandssendingen/stengt-mellom-okernrysset-og-sinsen-1.11416353","http://www.nrk.no/ostlandssendingen/1.11416353","Stengt mellom Økernrysset og Sinsen - NRK – Østlandssendingen","Stengt mellom Økernrysset og Sinsen
Fram til søndag blir strekningen på Ring 3 mellom Sinsenkrysset og Økernkrysset stengt mellom klokken 21.00 og 05.30. Veien stenges på grunn av arbeid som skal være ferdig mandag morgen.","2013-12-13 12:46:03",NULL,"2014-03-27 18:03:01",0,1,1,1,0,"no",34.6667,NULL,0,0,36,2,222,0,0,0,4,NULL,NULL,0,0,0,0,0,"",6,6,0,0,"NRK Østlandssendingen","NA","NA",0,181178,20388,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
55,"http://www.nrk.no/ostfold/verner-flere-skogsomrader-1.11416316","http://www.nrk.no/ostfold/1.11416316","Verner flere skogsområder","Foto: Lise Åserud / Scanpix






Verner flere skogsområder 


Regjeringen verner fire nye skogområder i fylkene Østfold, Oppland og Aust-Agder.






Områdene omfatter ca. 17 km² nytt verneareal, hvorav ca. 13 km² er produktiv skog. Områdene inngår i arbeidet med frivillig skogvern.
– Dette er en stor dag for naturmangfoldet. Skogvern er et viktig virkemiddel, fordi rundt halvparten av våre truede arter lever i skog, sier klima- og miljøvernminister Tine Sundtoft.
Økte bevilgningen til skogvern
Hele 50 prosent av artene som i Norsk rødliste 2010 er klassifisert som truede eller nær truede lever i skog, og for mange av disse er skogbruk en negativ påvirkningsfaktor. Vernet av skogområder skal sikre truede arter og naturtyper i norsk skog og bidra til et representativt vern av skogtyper. Norge har stor variasjon av skogtyper, også typer som er internasjonalt sjeldne, skriver miljøverndepartementet i en pressemelding.
– Høyre/Frp-regjeringen økte bevilgningen til frivillig skogvern med 100 mill. sammenlignet med fjoråret. Vi prioriterer arbeidet med naturmangfold, sier Sundtoft.
De fire områdene inngår i arbeidet med frivillig skogvern på privat grunn. To av områdene er utvidelser av eksisterende naturreservater.
Interessen for frivillig skogvern har de siste årene økt, og det pågår vernearbeid for et stort antall områder. Vernevedtaket i dag vil redusere køen av områder hvor det er inngått avtaler med skogeierne om frivillig skogvern. I tillegg er det planlagt vernevedtak for et stort antall frivillig vern-områder tidlig i 2014. Hittil er ca. 2,5 prosent av den produktive skogen i Norge vernet.
– Områdene som nå er vernet vil sikre viktige leveområder for et stort antall truede og nær truede arter, sier Sundtoft.
De vernede områdene:

Strønes naturreservat i Trøgstad kommune i Østfold fylke er et skogkledd ravinelandskap med edellauvskog og granskog. Her fins blant annet Østfolds største sammenhengende parti med alm-lindeskog og gråor-askeskog.
Fjella naturreservat i Rakkestad og Marker kommuner i Østfold fylke er et stort område på hele 17 kvadratkilometer med gammel gran- og furuskog og hvor det også er store vernekvaliteter knyttet til myrer. Myrene og furuskogen er blant annet levested for flere fuglearter, bl.a. nattravn, trane, storfugl og jerpe.
Nordre Brynsåa naturreservat i Øyer kommune i Oppland fylke er en viktig bekkekløft, en skogtype Norge har et internasjonalt ansvar for. Her fins blant annet sjeldne skogtyper som boreal regnskog, høgstaudeskog og rik lågurtskog, og en artsrik og frodig karplanteflora med bl.a. \"huldreplanten\" skogranke.
Ytre Lauvrak naturreservat i Froland kommune i Aust-Agder fylke har en sjeldent stor og variert forekomst av gamle, grove edelløvtrær som lind, eik og alm. Her lever rike forekomster av en rekke trua arter særlig av sopp, lav og insekter.","2013-12-13 12:50:48",NULL,"2014-03-27 18:03:01",0,2,2,2,0,"no",46.1986,NULL,1,0,441,31,2836,0,0,0,8,NULL,NULL,0,0,0,0,1,"Illustrasjonsbilde - Foto: Lise Åserud / Scanpix | Glomma | Helge Johansen har strikket i 30 år. Resultatet er verdens lengste skjerf på nesten fem kilometer. | Daglig leder Marthe Røsnæs - Marthe Røsnæs (23) driver et bilopphuggeri sammen med søsteren. De blir ofte møtt med fordommer. - Foto: Per-Jørgen Olsen / NRK | Stakk av fra beslag - Dette bildet tok Tollvesenet av bilen og varene som ble beslaglagt. - Foto: Tollvesenet /  | Tom Russell - TILBAKE I HALDEN. Tom Russel starter sin mini-turne med Det Norske Blåseensemble i morgen. - Foto: Drew Reynolds /  | Trafikkulykke i Sarpsborg - Tre biler var involvert i trafikkulykken. - Foto: Lotte Olsen/NRK /  | VognalliansenNRK | Klipp fra arkivskuffen 2001 | Saueeier og NRK-reporter på historisk skitur på Søndre Søster.",9,6,3,0,"NRK Østfold","NA","NA",0,181178,21191,"ny2013",NULL,NULL,NULL,NULL,NULL
56,"http://www.nrk.no/ostfold/beslagla-13-liter-brennevin-1.11416290","http://www.nrk.no/ostfold/1.11416290","Beslagla 13 liter brennevin - Østfold","Beslagla 13 liter brennevin
Tollvesenet melder at de under kontroll av et polsk kjøretøy avdekket ca. 13 liter brennevin, ca. 2 liter vin og 600 sigaretter. Sak er opprettet på den polske sjåføren.","2013-12-13 12:59:40",NULL,"2014-03-27 18:03:02",0,1,1,1,0,"no",37.9118,NULL,0,0,34,4,197,0,0,0,4,NULL,NULL,0,0,0,0,0,"",6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
57,"http://www.nrk.no/ostfold/domt-etter-trafikkulykke-1.11416300","http://www.nrk.no/ostfold/1.11416300","Dømt etter trafikkulykke - Østfold","Dømt etter trafikkulykke
En 20 år gammel mann fra Sarpsborg er dømt for uaktsom kjøring, etter at han kjørte på en syklist på Osloveien i Moss i september. Sarpsborg tingrett har dømt mannen til å betale en bot på 8400 kroner. 20 åringen mistet førerkortet for tre måneder. Han må ta full førerprøve på nytt for å få tilbake førerkortet, fordi det er mindre enn to år siden han tok førerkortet.","2013-12-13 12:22:42",NULL,"2014-03-27 18:03:03",0,1,1,1,0,"no",40.2222,NULL,0,0,72,4,394,0,0,0,4,NULL,NULL,0,0,0,0,0,"",6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
58,"http://www.nrk.no/ostfold/trafikken-ledes-inn-pa-gamle-e6-1.11416289","http://www.nrk.no/ostfold/1.11416289","Trafikken ledes inn på gamle E6 - Østfold","Trafikken ledes inn på gamle E6
Trafikken i retning Oslo ledes inn på Gamle E6 mellom Hølen og Vestby. Årsaken er at et vogntog har truffet utstyr i taket i Follotunnelen. Dette har skadet åtte biler.","2013-12-13 12:16:04",NULL,"2014-03-27 18:03:03",0,1,1,1,0,"no",31.2523,NULL,0,0,37,3,200,0,0,0,4,NULL,NULL,0,0,0,0,0,"",6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
59,"http://www.nrk.no/ostfold/1.11416290","http://www.nrk.no/ostfold/1.11416290","Beslagla 13 liter brennevin - Østfold","Beslagla 13 liter brennevin
Tollvesenet melder at de under kontroll av et polsk kjøretøy avdekket ca. 13 liter brennevin, ca. 2 liter vin og 600 sigaretter. Sak er opprettet på den polske sjåføren.","2013-12-13 12:59:40",NULL,"2014-03-27 18:03:04",0,1,1,1,0,"no",37.9118,NULL,0,0,34,4,197,0,0,0,4,NULL,NULL,0,0,0,0,0,"",6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
60,"http://www.nrk.no/ostfold/1.11416300","http://www.nrk.no/ostfold/1.11416300","Dømt etter trafikkulykke - Østfold","Dømt etter trafikkulykke
En 20 år gammel mann fra Sarpsborg er dømt for uaktsom kjøring, etter at han kjørte på en syklist på Osloveien i Moss i september. Sarpsborg tingrett har dømt mannen til å betale en bot på 8400 kroner. 20 åringen mistet førerkortet for tre måneder. Han må ta full førerprøve på nytt for å få tilbake førerkortet, fordi det er mindre enn to år siden han tok førerkortet.","2013-12-13 12:22:42",NULL,"2014-03-27 18:03:05",0,1,1,1,0,"no",40.2222,NULL,0,0,72,4,394,0,0,0,4,NULL,NULL,0,0,0,0,0,"",6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
61,"http://www.nrk.no/ostfold/1.11416289","http://www.nrk.no/ostfold/1.11416289","Trafikken ledes inn på gamle E6 - Østfold","Trafikken ledes inn på gamle E6
Trafikken i retning Oslo ledes inn på Gamle E6 mellom Hølen og Vestby. Årsaken er at et vogntog har truffet utstyr i taket i Follotunnelen. Dette har skadet åtte biler.","2013-12-13 12:16:04",NULL,"2014-03-27 18:03:07",0,1,1,1,0,"no",31.2523,NULL,0,0,37,3,200,0,0,0,4,NULL,NULL,0,0,0,0,0,"",6,6,0,0,"NRK Østfold","NA","NA",0,181178,20620,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
62,"http://www.nrk.no/telemark/kristin-halvorsen-skal-lede-nemnd-1.11416416","http://www.nrk.no/telemark/1.11416416","Kristin Halvorsen skal lede nemnd - Telemark","Kristin Halvorsen skal lede nemnd
Kristin Halvorsen fra Porsgrunn er utnevnt til leder for Bioteknologinemnda. Den tidligere kunnskapsministeren og finansministeren skal lede nemnda fra 1. januar 2014 til 31. desember 2017. Bioteknologinemnda er et rådgivende organ for regjeringa.","2013-12-13 13:05:30",NULL,"2014-03-27 18:03:09",0,1,1,1,0,"no",48.8974,NULL,0,0,39,3,281,0,0,0,4,NULL,NULL,0,0,0,0,0,"",6,6,0,0,"NA","NA","NA",0,181178,20379,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
63,"http://www.nrk.no/telemark/1.11416416","http://www.nrk.no/telemark/1.11416416","Kristin Halvorsen skal lede nemnd - Telemark","Kristin Halvorsen skal lede nemnd
Kristin Halvorsen fra Porsgrunn er utnevnt til leder for Bioteknologinemnda. Den tidligere kunnskapsministeren og finansministeren skal lede nemnda fra 1. januar 2014 til 31. desember 2017. Bioteknologinemnda er et rådgivende organ for regjeringa.","2013-12-13 13:05:30",NULL,"2014-03-27 18:03:10",0,1,1,1,0,"no",48.8974,NULL,0,0,39,3,281,0,0,0,4,NULL,NULL,0,0,0,0,0,"",6,6,0,0,"NA","NA","NA",0,181178,20379,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
73,"http://www.nrk.no/nyheter/flere-moter-med-kongo-myndigheter-i-dag-1.11416241","http://www.nrk.no/nyheter/1.11416241","Flere møter med Kongo-myndigheter i dag - NRK Nyheter","Flere møter med Kongo-myndigheter i dag
UDs spesialutsending Kai Eide sier at han skal ha flere møter med kongolesiske myndigheter på høyt plan i dag. Norge samarbeider også med britiske myndigheter.","2013-12-13 13:03:35",NULL,"2014-03-27 18:03:17",0,1,1,1,0,"no",37.875,NULL,0,0,32,2,199,0,0,0,4,NULL,NULL,0,0,0,0,0,"",3,3,0,0,"NA","NA","NA",0,184903,24534,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
74,"http://www.nrk.no/nyheter/1.11416373","http://www.nrk.no/nyheter/1.11416373","NRK Nyheter","Regjeringen beklager tolketabbe overfor døve




Se video","2013-12-13 13:00:35",NULL,"2014-03-27 18:03:18",0,1,1,1,0,"nb",58,NULL,0,1,8,1,57,0,0,0,5,NULL,NULL,0,1,0,0,1,"",3,3,0,0,"NA","NA","NA",0,184903,24257,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
75,"http://www.nrk.no/nyheter/1.11416399","http://www.nrk.no/nyheter/1.11416399","NRK Nyheter","Nav snur om enkepensjonen: Alle får det de har krav på




Se video","2013-12-13 12:58:00",NULL,"2014-03-27 18:03:19",0,1,1,1,0,"no",21.1429,NULL,0,1,14,1,67,0,0,0,4,NULL,NULL,0,0,0,0,1,"",3,3,0,0,"NA","NA","NA",0,184903,24257,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
76,"http://www.nrk.no/nyheter/--ud-gjor-det-vi-kan-1.11416388","http://www.nrk.no/nyheter/1.11416388","- UD gjør det vi kan - NRK Nyheter","- UD gjør det vi kan
– Jeg skal møte kongolesiske og internasjonale representanter de neste dagene. Min strategi for å få Joshua French ut av fengsel i Kongo vil jeg holde for meg selv, sier spesialutsending Kai Eide.","2013-12-13 12:55:14",NULL,"2014-03-27 18:03:19",0,1,1,1,0,"no",34.8846,NULL,0,0,39,2,217,0,0,0,4,NULL,NULL,0,0,0,0,0,"",3,3,0,0,"NA","NA","NA",0,184903,24534,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
77,"http://www.nrk.no/nyheter/--lang-og-god-samtale-med-french-1.11416352","http://www.nrk.no/nyheter/1.11416352","- Lang og god samtale med French - NRK Nyheter","Foto: Øyvind Rønning Nyborg / NRK




- Lang og god samtale med French
Spesialutsending Kai Eide sier til NRK at han nå har hatt en lang og god samtale med Joshua French i fengselet i Kongo. - Han ser godt ut og er ved godt mot under omstendighetene, sier Eide.","2013-12-13 12:51:34",NULL,"2014-03-27 18:03:20",0,1,1,1,0,"no",39.2255,NULL,0,0,51,2,261,0,0,0,4,NULL,NULL,0,0,0,0,1,"",3,3,0,0,"NA","NA","NA",0,184903,24655,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
